Show,EpId,ClipId,is_stutter,stutter_ratio,annotation_confidence
HeStutters,0,0,0,0.0,0.0
HeStutters,0,1,0,0.0,0.0
HeStutters,0,2,0,0.0,0.0
HeStutters,0,3,0,0.3333333333333333,0.6666666666666666
HeStutters,0,4,0,0.0,0.0
HeStutters,0,5,0,0.3333333333333333,0.6666666666666666
HeStutters,0,6,0,0.0,0.0
HeStutters,0,7,0,0.0,0.0
HeStutters,0,8,0,0.0,0.0
HeStutters,0,9,0,0.0,0.0
HeStutters,0,10,0,0.0,0.0
HeStutters,0,11,0,0.0,0.0
HeStutters,0,12,0,0.0,0.0
HeStutters,0,13,0,0.3333333333333333,0.6666666666666666
HeStutters,0,14,0,0.3333333333333333,0.6666666666666666
HeStutters,0,15,0,0.0,0.0
HeStutters,0,16,0,0.0,0.0
HeStutters,0,17,0,0.0,0.0
HeStutters,0,18,0,0.3333333333333333,0.6666666666666666
HeStutters,0,19,0,0.3333333333333333,0.6666666666666666
HeStutters,0,20,0,0.0,0.0
HeStutters,0,21,0,0.0,0.0
HeStutters,0,22,0,0.0,0.0
HeStutters,0,23,0,0.0,0.0
HeStutters,0,24,0,0.0,0.0
HeStutters,0,25,0,0.3333333333333333,0.6666666666666666
HeStutters,0,26,0,0.0,0.0
HeStutters,0,27,1,1.0,0.0
HeStutters,0,28,0,0.3333333333333333,0.6666666666666666
HeStutters,0,29,0,0.0,0.0
HeStutters,0,30,0,0.0,0.0
HeStutters,0,31,0,0.3333333333333333,0.6666666666666666
HeStutters,0,32,0,0.0,0.0
HeStutters,0,33,1,0.75,0.5
HeStutters,0,34,0,0.0,0.0
HeStutters,0,35,0,0.0,0.0
HeStutters,0,36,0,0.0,0.0
HeStutters,0,37,0,0.3333333333333333,0.6666666666666666
HeStutters,0,38,0,0.3333333333333333,0.6666666666666666
HeStutters,0,39,0,0.3333333333333333,0.6666666666666666
HeStutters,1,0,1,1.0,0.0
HeStutters,1,1,0,0.3333333333333333,0.6666666666666666
HeStutters,1,2,0,0.3333333333333333,0.6666666666666666
HeStutters,1,3,0,0.3333333333333333,0.6666666666666666
HeStutters,1,4,0,0.0,0.0
HeStutters,1,5,1,1.0,0.0
HeStutters,1,6,0,0.3333333333333333,0.6666666666666666
HeStutters,1,7,1,1.0,0.0
HeStutters,1,8,1,0.6666666666666666,0.6666666666666667
HeStutters,1,9,0,0.3333333333333333,0.6666666666666666
HeStutters,1,10,1,1.0,0.0
HeStutters,1,11,1,1.0,0.0
HeStutters,1,12,1,0.6666666666666666,0.6666666666666667
HeStutters,1,13,1,0.6666666666666666,0.6666666666666667
HeStutters,1,14,1,1.0,0.0
HeStutters,1,15,1,1.0,0.0
HeStutters,1,16,0,0.3333333333333333,0.6666666666666666
HeStutters,1,17,1,1.0,0.0
HeStutters,1,18,1,0.75,0.5
HeStutters,1,19,0,0.0,0.0
HeStutters,1,20,1,1.0,0.0
HeStutters,1,22,1,0.5,1.0
HeStutters,1,23,0,0.3333333333333333,0.6666666666666666
HeStutters,1,24,1,0.6666666666666666,0.6666666666666667
HeStutters,1,26,0,0.3333333333333333,0.6666666666666666
HeStutters,1,27,1,1.0,0.0
HeStutters,1,28,1,0.5,1.0
HeStutters,1,29,1,0.6666666666666666,0.6666666666666667
HeStutters,1,30,0,0.3333333333333333,0.6666666666666666
HeStutters,1,31,1,0.6666666666666666,0.6666666666666667
HeStutters,1,32,1,1.0,0.0
HeStutters,1,33,1,1.0,0.0
HeStutters,1,34,1,0.6666666666666666,0.6666666666666667
HeStutters,1,35,1,1.0,0.0
HeStutters,1,36,0,0.3333333333333333,0.6666666666666666
HeStutters,1,37,1,1.0,0.0
HeStutters,1,38,0,0.3333333333333333,0.6666666666666666
HeStutters,1,39,1,0.6666666666666666,0.6666666666666667
HeStutters,1,40,1,1.0,0.0
HeStutters,1,41,1,0.75,0.5
HeStutters,1,42,1,1.0,0.0
HeStutters,1,43,0,0.3333333333333333,0.6666666666666666
HeStutters,1,44,0,0.3333333333333333,0.6666666666666666
HeStutters,1,45,1,1.0,0.0
HeStutters,1,46,1,0.8,0.3999999999999999
HeStutters,1,47,0,0.3333333333333333,0.6666666666666666
HeStutters,1,48,1,1.0,0.0
HeStutters,1,49,1,1.0,0.0
HeStutters,1,50,1,0.75,0.5
HeStutters,1,51,1,1.0,0.0
HeStutters,1,52,0,0.0,0.0
HeStutters,1,53,1,1.0,0.0
HeStutters,1,54,1,1.0,0.0
HeStutters,1,55,0,0.3333333333333333,0.6666666666666666
HeStutters,1,56,1,0.6666666666666666,0.6666666666666667
HeStutters,1,57,1,0.75,0.5
HeStutters,1,58,0,0.3333333333333333,0.6666666666666666
HeStutters,1,59,0,0.3333333333333333,0.6666666666666666
HeStutters,1,60,1,1.0,0.0
HeStutters,1,61,1,1.0,0.0
HeStutters,1,62,1,1.0,0.0
HeStutters,1,63,1,1.0,0.0
HeStutters,1,64,0,0.0,0.0
